Species,Pop,Females,Males,Immatures,PopDensity,Sgsize_range,SexualSeg
Alouatta_palliata,1,21,17,21,870.3333333,11,
Alouatta_palliata,2,5.8,4.8,4.2,,,
Alouatta_palliata,3,13,13,12.5,2.85,34,1
Alouatta_palliata,4,10,11,,,19,0
Alouatta_palliata,5,21,6,15,7.9,14.12711865,
Cervus_elaphus,7,279.7,279.4666667,305.3,19.8,50,1
Cervus_elaphus,1,3,,,,25,1
Cervus_elaphus,3,,,,13.7,252,
Cervus_elaphus,5,,,,,43,
Cervus_elaphus,6,,24,,,,
Cervus_elaphus,8,,,,,55,1
Cervus_elaphus,9,,,,,,1
Cervus_elaphus,12,,,,1.6,39,1
Chalinolobus_tuberculatus,1,156.3,45.3,102.7,,122,0
Chiropotes_utahickae,1,9,12,13,,21,0
Crocuta_crocuta,8,20.25,15.1,30.5,0.86,23,
Crocuta_crocuta,1,,,,,6,
Crocuta_crocuta,2,6,5,4,,,
Crocuta_crocuta,3,28.5,13,20,,,
Elephas_maximus,1,5490,900,2610,3,25,
Elephas_maximus,4,120.96,64.8,30.24,,20,1
Elephas_maximus,6,48,12,11,,21,
Elephas_maximus,7,49,22,21,,,
Elephas_maximus,2,7.5,1,5.5,,,
Elephas_maximus,3,,,,0.9,11,
Macaca_fascicularis,6,461,253,912,6.86,128,1
Macaca_fuscata,1,22,15,23,19.3,,1
Macaca_fuscata,2,136,43,388.5,,,
Macaca_fuscata,3,111,41,121,1,,1
Macaca_fuscata,4,120.1225,17.74,137.5325,,135,1
Macaca_fuscata,5,76,55,,1,21,1
Macaca_fuscata,6,48,29,57,1,,1
Pongo_pygmaeus,1,,,,6.823666667,9.67,
Pongo_pygmaeus,2,,,,,,
Pongo_pygmaeus,3,9,29,28,2.98,,1
Pongo_pygmaeus,4,,,,4.4,,1
Potos_flavus,1,1,2,2,12,4,
Tursiops_aduncus,7,,,,0.5,34,
Tursiops_aduncus,8,,,,3.827433628,54,1
Tursiops_sp.,1,,,,2,19,1
Tursiops_sp.,2,,,,0.71,7,1
Tursiops_truncatus,9,,,,,34,
Zalophus_wollebaeki,1,332,295,343,,37,1
